,Unnamed: 0,content,label,fake
0,0,damn dude! Thats how I know to go in the dark! :-)  i'll just sit still and see it :),1,1
1,1,Fuck em.  Fuck em over with a fucking feather dick,1,1
2,2,did you know I've gone on 2 podcasts so far...THAT WOULD BE A FUCKING CROSS...lol xD,1,1
3,3,Damn man! Damn that store!!!!,1,1
4,4,i have a hj and i have no damn idea why people would put that at me in joules!!! that should have,1,1
5,5,You're doing that so as to piss me off with a big fat fat cock  lulz ;) :-o,1,1
6,6,"happened last night! damn I miss @hannahdelladle and the ""bitch you keep talking and listening",1,1
7,7,I fucking prefer my gay buddies on my right wrist ;),1,1
8,8,that sucks. :/ lulz sucks for all of you too lol...that movie will be ok though....damnit.,1,1
9,9,oh well i can use em later anyways :) fuck your  I know what im doing :),1,1
10,10,fuck it. i hate that you hate work. =-O,1,1
11,11,it's Christmas...lol. I fucking dig you as much. :),1,1
12,12,why do yuu do that all the time u&;ve got a problem u got u&; headache almosyn,1,1
13,13,damn dat dat damn music.. damn you mosh room..,1,1
14,14,A bitch  and I don't hate her for that.,1,1
15,15,I would never call people retarded. I know someone that's a pig in the house   now I see her and I am,1,1
16,16,it sucks ur balls  so hard  that sucks balls. LOL,1,1
17,17,I'm not happy about those comments at all! What do we do? I'll fight them in the street. :O,1,1
18,18,@JKimmyyou'rea jerk....hell ndam you! lol,1,1
19,19,you just said that we should have sex. That was fucking disturbing!,1,1
20,20,I'm a nerd for the life! LOL,1,1
21,21,i don&;T get angry about things. people are bad ass though :(,1,1
22,22,That sucks! And...what happened to your damn...guts...(sobs),1,1
23,23,no! its an album!!!!!,1,1
24,24,i hate gay guys. they can get your pussy and shit on you! i hate them as well. and they will tell you,1,1
25,25,LOL YOU HUG THE LULZ! I'M HARD!!!,1,1
26,26,damn  what is wb iger. fuck i got my face whittled up...,1,1
27,27,"Damn. He just proved that  you do  no matter how much he does """,1,1
28,28,I hate people who have to deal with people who are immature. They just waste someone's time  and cause drama for nothing.,1,1
29,29,well I'd hate that but if you are an avid photographer and you are one of them!   i'm in!!!! lol,1,1
30,30,I've told him to go fucking back! I'm a fucking librarian! Not a nerd or a loser type!  Well,1,1
31,31,Damn  I hate you even more for it. ,1,1
32,32,Damn...that is tough. Why? I don't know; but I can't stop,1,1
33,33,your a fucking moron  and we have this in the works? you guys should fire your asses.,1,1
34,34,wow  did he ever get his kicks out on YouTube then? that'd blow my brains back...,1,1
35,35,i wish i could take u back though :P i hate that song and it makes such a sad &gass.,1,1
36,36, damn. you think ur a fat ass bitch?,1,1
37,37,damn i was thinking how bout the fat boy who stole the cookie? Lol!,1,1
38,38,wow... you're a freak! you don't have a body??,1,1
39,39,That will have to be my preference for your new shoes :D,1,1
40,40,I can't imagine what that might look like. @BryanLemont just says what every girl on Twitter must have done,1,1
41,41,bitch I coulda caught&amp;3,1,1
42,42,fuck  fuck? you mean I&amp;re gay... and you&quot;re gonna let your cock get in,1,1
43,43,you should probably be having fun in school,1,1
44,44,your dick. it sucks. damn near tears in em,1,1
45,45,I am totally opposed! Hate me!,1,1
46,46,Fuck 'em dude. They're all losers with balls :),1,1
47,47,bitch. u,1,1
48,48,Fuck that! Ugly as fuck!,1,1
49,49,Oh wow they've finally let him eat some peanuts....wow what a loser!,1,1
50,50,bitch! u a dick!? haha! so gay I think thats gay...,1,1
51,51,Damn you! Damn them!,1,1
52,52,"i would be the type of fuck up to be sent to ga right now.  they have a ""fuck over room""",1,1
53,53,oh god that hurts :p lol,1,1
54,54,fuck off yrs ago,1,1
55,55,i hate that.,1,1
56,56,fuck  the fuck did that whale cum out of that ass!?,1,1
57,57,I HATE YOU! It is too soon after all!!,1,1
58,58,i do lol :D,1,1
59,59,Damn...that sucks...,1,1
60,60,That sucks.  I'll see you in Hades though lol,1,1
61,61,HAYLNA! U GAY BAM! :-(,1,1
62,62,That is totally ok and I wish you well. I will be back,1,1
63,63,you were just gonna fucking freak out and say that? Lol..,1,1
64,64,no but i have to say idk who. The guy seems gay! LOL,1,1
